CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,萬華區,63000070,2021-05-15,18:00:00,31,26,71,偏北風,1,<= 1,37,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-15,21:00:00,30,26,81,偏北風,1,<= 1,35,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-16,00:00:00,29,26,86,西北風,1,<= 1,35,多雲,04,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-16,03:00:00,28,26,88,西北風,1,<= 1,34,多雲,04,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-13,06:00:00,25,23,92,西北風,1,<= 1,28,晴,01,10,40,2021-05-13
臺北市,文山區,63000080,2021-05-13,09:00:00,30,24,69,西北風,2,<= 1,35,晴,01,10,40,2021-05-13
臺北市,文山區,63000080,2021-05-13,12:00:00,34,24,54,偏北風,1,<= 1,39,午後短暫雷陣雨,15,40,40,2021-05-13
臺北市,文山區,63000080,2021-05-13,15:00:00,33,24,59,東北風,2,<= 1,38,多雲,04,40,40,2021-05-13
臺北市,文山區,63000080,2021-05-13,18:00:00,30,26,76,偏東風,1,<= 1,35,晴,01,10,10,2021-05-13
臺北市,文山區,63000080,2021-05-13,21:00:00,28,26,88,偏南風,1,<= 1,33,晴,01,10,10,2021-05-13
臺北市,文山區,63000080,2021-05-14,00:00:00,27,25,91,東南風,1,<= 1,32,晴,01,0,10,2021-05-13
臺北市,文山區,63000080,2021-05-14,03:00:00,26,25,93,偏東風,1,<= 1,30,晴,01,0,10,2021-05-13
臺北市,文山區,63000080,2021-05-14,06:00:00,25,23,90,西北風,1,<= 1,29,晴,01,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-14,09:00:00,30,24,71,偏北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-14,12:00:00,34,25,61,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-14,15:00:00,33,27,73,偏北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-14,18:00:00,30,26,79,東北風,0,<= 1,35,多雲,04,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-14,21:00:00,28,26,91,西南風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-15,00:00:00,27,26,92,偏北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-15,03:00:00,26,25,93,偏北風,1,<= 1,31,晴,01,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-15,06:00:00,25,24,90,偏北風,1,<= 1,29,晴,01,10,20,2021-05-13
臺北市,文山區,63000080,2021-05-15,09:00:00,30,24,72,偏北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,文山區,63000080,2021-05-15,12:00:00,34,24,59,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-15,15:00:00,33,26,67,東北風,1,<= 1,38,晴,01,20,20,2021-05-13
臺北市,文山區,63000080,2021-05-15,18:00:00,30,26,77,東北風,1,<= 1,35,晴,01,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-15,21:00:00,28,26,90,偏北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-16,00:00:00,27,26,92,偏西風,1,<= 1,32,多雲,04,0,0,2021-05-13
臺北市,文山區,63000080,2021-05-16,03:00:00,26,25,95,西北風,1,<= 1,31,多雲,04,0,0,2021-05-13
臺北市,南港區,63000090,2021-05-13,06:00:00,26,22,80,偏西風,1,<= 1,31,晴,01,0,20,2021-05-13
臺北市,南港區,63000090,2021-05-13,09:00:00,31,22,58,西北風,1,<= 1,36,晴,01,0,20,2021-05-13
臺北市,南港區,63000090,2021-05-13,12:00:00,35,22,49,偏北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-13,15:00:00,34,24,59,東北風,2,<= 1,38,多雲,04,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-13,18:00:00,31,24,68,偏東風,1,<= 1,35,晴,01,10,10,2021-05-13
臺北市,南港區,63000090,2021-05-13,21:00:00,29,24,78,偏南風,1,<= 1,34,晴,01,10,10,2021-05-13
臺北市,南港區,63000090,2021-05-14,00:00:00,28,24,82,東南風,1,<= 1,32,晴,01,0,10,2021-05-13
臺北市,南港區,63000090,2021-05-14,03:00:00,27,24,84,偏東風,1,<= 1,32,多雲,04,0,10,2021-05-13
臺北市,南港區,63000090,2021-05-14,06:00:00,26,23,80,偏北風,1,<= 1,31,晴,01,10,20,2021-05-13
臺北市,南港區,63000090,2021-05-14,09:00:00,31,23,62,偏北風,1,<= 1,36,晴,01,10,20,2021-05-13
臺北市,南港區,63000090,2021-05-14,12:00:00,35,25,58,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-14,15:00:00,33,27,69,偏北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-14,18:00:00,30,25,72,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,南港區,63000090,2021-05-14,21:00:00,29,25,80,西南風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,南港區,63000090,2021-05-15,00:00:00,28,25,83,西北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,南港區,63000090,2021-05-15,03:00:00,27,24,85,西北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,南港區,63000090,2021-05-15,06:00:00,26,23,80,偏北風,1,<= 1,31,晴,01,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-15,09:00:00,31,23,61,偏北風,1,<= 1,36,晴,01,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-15,12:00:00,34,24,57,東北風,2,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-15,15:00:00,33,26,66,東北風,1,<= 1,38,晴,01,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-15,18:00:00,30,24,71,東北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-15,21:00:00,28,24,79,西北風,1,<= 1,34,晴,01,20,20,2021-05-13
臺北市,南港區,63000090,2021-05-16,00:00:00,28,24,82,偏西風,1,<= 1,33,多雲,04,10,20,2021-05-13
臺北市,南港區,63000090,2021-05-16,03:00:00,27,24,86,西北風,1,<= 1,32,多雲,04,10,20,2021-05-13
臺北市,內湖區,63000100,2021-05-13,06:00:00,27,22,74,偏西風,1,<= 1,31,晴,01,10,20,2021-05-13
臺北市,內湖區,63000100,2021-05-13,09:00:00,32,21,54,偏西風,2,<= 1,36,晴,01,10,20,2021-05-13
臺北市,內湖區,63000100,2021-05-13,12:00:00,35,22,45,偏北風,2,<= 1,39,多雲,04,20,20,2021-05-13
